post_id,source,text,label
23107796_gab,gab,u really think would not raped feral hindu muslim back india bangladesh neo nazi would rape well see cry,offensive
9995600_gab,gab,uk threatened return radioactive waste eu agreement cannot reached not keep radioactive waste send back paki migrants instead,offensive
1227920812235051008_twitter,twitter,english not imposition hindi also not imposition shut chutiya retards stophindiimposition,offensive
1204931715778543624_twitter,twitter,no liberal congratulated hindu refugees post cab hate hindus,offensive
1179102559241244672_twitter,twitter,said bro even texts sound redneck whatever fuck means face_with_tears_of_joy person_shrugging light_skin_tone male_sign USER,offensive
18790322_gab,gab,live work many legal mexican immigrants great citizens trump supporters no problem deporting illegals maga,normal
13459307_gab,gab,britain prime minister childless woman london mayor moslem invader command london police lesbian command london fire brigade fat woman scotland first minister childless woman,hatespeech
1113705567782969344_twitter,twitter,USER USER shd film called no hindus kashmir wud perfect islamic fanaticsm movement kashmir,normal
24555628_gab,gab,jews defends jews regardless muslims defend muslins regardless christian european attack christians christian people jews muslims another home ffs not not people understand not difficult,normal
16382456_gab,gab,non partisan congressional budget office cbo released report sens lindsey graham dick durbin dream act report shows legislation would add billion deficit ten year period lots immigrant scum,hatespeech
16323644_gab,gab,got couple companies boycott christmas season first one ford got several ads featuring blip length shots white men w white women becoming norm defile white man drive women hands wn,normal
10672407_gab,gab,people going blame white nationalists happened initially peaceful antifa showed happened yesterday result political correctness left legitimising political violence establishment leftists not condemn antifa,normal
16953323_gab,gab,completely correct without communication breaks leading distortions misrepresentations serious problem among white males failed learn language effectively,normal
1225661082083024897_twitter,twitter,caucasians wearing masks prevent coronavirus still wash hands,normal
1143683682869436416_twitter,twitter,USER americans dead illegal immigrant infuriating enforce laws deport,hatespeech
1179015546890784768_twitter,twitter,USER besudes guilt saviour complex among whites reached alarming level want save indian girls raped rate sexual assault countries significantly higher,normal
17847556_gab,gab,thank white man live world islanders say canadian rude really lived brown country even citizenship would never call ethiopian chinese indian caribbean living canada,hatespeech
1177990839177490432_twitter,twitter,nigger faggot retard beaner dishwasher time see get ban,hatespeech
17398393_gab,gab,idea compassion allowing kate steinle killer go free not compassion mental illness let compassionate legal citizens country stop funding illegal immigrants stop encouraging lawlessness build fucking wall maga gabfam news,normal
1126676847171907585_twitter,twitter,white boys curly hair comb looks like bird nest,normal
1178422453749604364_twitter,twitter,blow stack yo niggas yo trapping ass,normal
1146139541805228032_twitter,twitter,USER yes put fear black people jews even white civil rights workers deny holocaust ever happened,normal
1178491915894956033_twitter,twitter,playing lot ethnic music white ass wedding,normal
21760024_gab,gab,retarded non argument bible also best seller communist china,hatespeech
1165804439632011264_twitter,twitter,USER think immigrants replace people like,normal
24649974_gab,gab,every time nigger africa gets pregnant abort make law years,hatespeech
26012116_gab,gab,nothing royal wedding bastard nignog halfbreed thot divorced catholic boot notable father bride father groom not attend,hatespeech
15062597_gab,gab,sort white man woman would vote nigger,hatespeech
27618184_gab,gab,diversity code word white genocide immigrants contribute integrate rd world retards freeload fornicate,hatespeech
1211444261935288320_twitter,twitter,im literally not zionist dear lord hard recognize people genuinely despise jews,normal
1276558752913805312_twitter,twitter,hindu army disrespecting islam face_with_rolling_eyes acting like countries mass murder bi yearly basis stfu,offensive
18121370_gab,gab,stupid nigger given grades admissioin school job degree position never earned doesnt iq fuck,hatespeech
1079140690200854528_twitter,twitter,USER humor negro face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,normal
15716977_gab,gab,bump dis nigger,hatespeech
12329944_gab,gab,would hilarious un building turned homeless shelter hell not refugee center,normal
1254517888599429125_twitter,twitter,confused president blocked stimulus checks married immigrants married immigrant,normal
20836997_gab,gab,pissed japanese chinese korean ya know real asians goat fuckers called asian avoid calling arabs,hatespeech
1191835760376332288_twitter,twitter,always wanted beat nigga front child child grow remember forever,hatespeech
13517786_gab,gab,used cracker honky antiracist us racist us nazi mean say nigger faggot kike sandnigger spic fuck anti white scum grimacing_face,offensive
1178780987049889794_twitter,twitter,nigger calling juicy lips phone wtf,hatespeech
27287978_gab,gab,nigger bich never strait hair keep wearing dat horsehair weave,hatespeech
3654285_gab,gab,apparently vile nigger animals kidnapped white special needs teen tortured scalped shouting fuck white people fuck trump armed shooting head zombies approach,hatespeech
1179012930681085952_twitter,twitter,USER need potassium eat banana fucking nigger,hatespeech
5695445_gab,gab,well send coon estrogen wife turning liberal breath breath due fake news not know much take hell two daughters hormones started growing breast tissue like pseudo naturally becoming bruce jenner,hatespeech
1185218477478465536_twitter,twitter,high time hindus think filthy muslims allowed live not kamleshtiwari ypg yourprophetisgay,hatespeech
1269940233468096513_twitter,twitter,USER ban immigrants operating small business every business start somewhere tomorrow give people job,normal
11200659_gab,gab,sure totally alpha faggot standard fuckparties,offensive
1121631476909346816_twitter,twitter,USER aint bisexual lgbt king gays even mind,offensive
1178012240382967808_twitter,twitter,insecure lowlife broke ass desperate woman beating momma boy ass niggas fucking sick get grip reality hoe dumbass dykes,offensive
7047490_gab,gab,guess nigger mudshark unaware merchant hilarious trolling,hatespeech
1080357768173740032_twitter,twitter,diac detention center correspond place equally transgender heterosexuals also gay diac,offensive
26036512_gab,gab,pentagon like street nigger constantly bumming cigarettes spare change,hatespeech
1164801468286660610_twitter,twitter,USER agree ananya baby every hindu muslim sikh isai travel economy class sonam kapoor,offensive
18546522_gab,gab,hilarious insult saw pol satoshi every time shills shitposters made dumb frankpost would able afford helicopter deep web throw every one insufferable faggots middle ocean,offensive
1176323489801916418_twitter,twitter,gay man flirting cheating bitch think ugly bugging lmao,offensive
1274808066270203906_twitter,twitter,amaka man house foodstuffs no longer lesbian,offensive
1178353812307922946_twitter,twitter,subtly homophobic news story child gay twitter influencer still shits thoughts flushed_face thinking_face mike pence like gays even faggot friend much,offensive
16135672_gab,gab,nigger true snake charmer,hatespeech
7371474_gab,gab,look like dykes sure coincidence,hatespeech
19085590_gab,gab,ben cool still nigger,hatespeech
19795578_gab,gab,imagine riots people actually got food boxes instead ebt cards every ghetto america would look like ferguson,hatespeech
23100454_gab,gab,first save white bitches sucking many black cocks giving birth mixed babies not one threatening existence retarded degenerate,hatespeech
20483029_gab,gab,think worse almost like campaign legalise homosexuality early wanting make normal took queers,hatespeech
14463649_gab,gab,nigger males faggots low another reason aids figures prominently ethnic grouping least desirable white women settle muh dick women either low self esteem daddy issues low iq deadly combination white women USER,hatespeech
18490131_gab,gab,ah k white nationalism perfect infallible cuck faggot takes ass blacks disagree way seems cover,hatespeech
13379296_gab,gab,lol trump gutting nigger bitch like carp,hatespeech
8922784_gab,gab,ann coulter USER daily trump melodrama worth really going build wall cut muslim refugees deport illegals,offensive
24409503_gab,gab,british men cuckolds cowardly needed quite pathetic happened daughter sister tribes worth sand niggers finding no virgins waiting,offensive
1098349742675898368_twitter,twitter,USER us white arabs,normal
1178537088754622464_twitter,twitter,bitch white nigga faggot kids demon possessed blk ppl pussy worthless whore ur household suck dick jealous innocent blk ppl squatter blk neighborhoods jealous jesus ur disgusting,hatespeech
1178842919773581312_twitter,twitter,not wanting leave house due equal parts depression not wanting acknowledge existence ignorant sister banging idiotic fucking redneck pieces garbage live shitheel podunk white trash map stain live,hatespeech
16434890_gab,gab,intense white male listening threatening violent white male gaze stop listening us,offensive
11619975_gab,gab,oh got somebody trying defend murderous negro community drug dealing hispanic community also defending mongrels islam say white people racist racist stereotype apply well,offensive
22084298_gab,gab,attention whore kill canadians gain seat moslem run un,hatespeech
1091427048755732482_twitter,twitter,nothing blacks asians hispanics mixed include movies video games forced diversity enraged_face enraged_face enraged_face enraged_face,offensive
14010801_gab,gab,bare naked islam brought bare naked ladies,hatespeech
4294338_gab,gab,USER oh gay rainbow flag not women mostly lesbians irrelevant termagants empty wombs,hatespeech
1178517325420679168_twitter,twitter,supposed bestfriend like yanno someone could vent spend time share secrets type shit someone call need em bitch hmu one thang fuck youu middle_finger medium_skin_tone fuckin faggot,hatespeech
15354084_gab,gab,sound hear distance nd civil war approaching texas state student paper ran pro white genocide article ontologically speaking white death mean liberation remember hate not exist,hatespeech
23765647_gab,gab,meanwhile little girls sold refugee camps imported men claim fathers raped subjected fgm slavery dare USER find moral obligation call strike not children matter enough,normal
11580960_gab,gab,fucking nigger fag pantload wonder actually wrote affirmative action push along toy,hatespeech
27758571_gab,gab,middle school girls drive dykes nuthouse underage shitskin rapists get ids protected,hatespeech
24235305_gab,gab,based hot jew andrew mix asians anglin,offensive
18904736_gab,gab,true USER faggot slightly_smiling_face,hatespeech
1167659752266113025_twitter,twitter,USER seem uncanny similarity current usual suspects previous asians,offensive
22898862_gab,gab,ugly commie bull dyke cunt,hatespeech
1178926045044457472_twitter,twitter,stumptown shit show writers retarded story boring total waste fantastic cast,offensive
27201633_gab,gab,posted craigslist rnr wondering many beaners town get response knew illiterates one ridiculous,offensive
17138988_gab,gab,wow go figure placed crowd new year rockin eve mainly chinks niggers beaners muslims kikes dykes faggots chicks dicks,hatespeech
23332141_gab,gab,not respond posts white nigger lying sack shit called fed days published website faggot USER,hatespeech
1162556202821115904_twitter,twitter,USER tell us first white supremacists know not one,normal
22967436_gab,gab,kike shill psyop ricky vaughn deleted post stated white identity not exist post screen shot ask ricky tkr get gassed faggot,hatespeech
