post_id,source,text,label,predicted,correct
1179090479196991488_twitter,twitter,school hella gay,offensive,normal,False
1179030288065859585_twitter,twitter,mom brother works google pakistani born married local american women divorced got married rich paki doctor wow ye concept hy phir shifted us great,normal,hatespeech,False
1115697903681527808_twitter,twitter,army republican not welcome hate,hatespeech,normal,False
1246664039872319488_twitter,twitter,bad bitch,normal,offensive,False
1179083154579177473_twitter,twitter,freshman bathroom blacks cypher woozy_face diploma plz shit ghetto dawg,offensive,normal,False
15611717_gab,gab,brian ross suspension people lost money sorry ziltch sympathy retarded enough panic sell shoudln invest panicked lost later anyhow armaggedons really occur not everything armaggedon either concern not actionable panic,normal,offensive,False
1179050544075137026_twitter,twitter,USER text faggot,normal,offensive,False
4751131_gab,gab,european history years speaks one voice exterminate jews exterminate whitegenocide,hatespeech,offensive,False
7247063_gab,gab,please enlighten chabad jews think superior not gods children important number yes not religious number would welcome conversation try understand attitude towards goyem life,offensive,hatespeech,False
11012135_gab,gab,called jewish people asians actually white supremes,hatespeech,normal,False
1092230580312395777_twitter,twitter,oh getting niggerish,hatespeech,offensive,False
25995789_gab,gab,dykes keep nails short,hatespeech,offensive,False
18550891_gab,gab,never long blacks jews spics muslims asians,offensive,hatespeech,False
9537035_gab,gab,true disgusting thing would muslim twerking goat,offensive,hatespeech,False
9763628_gab,gab,white south africans real refugees need saving let arabs africans save people change oh wait supposed refugees running burnitall nomorerefugees shootthendeport,hatespeech,normal,False
26410751_gab,gab,yep going people would listen people like tommy like us not like feel good not think million underage girls raped decades,offensive,hatespeech,False
3166553_gab,gab,liberal asked conservatives would jobs illegal immigrants must democrats think need permanent underclass non citizens wait not ones implemented slavery not civil rights becoming clearer,normal,offensive,False
19227442_gab,gab,rather get fisted nigger tbh,offensive,hatespeech,False
1125244030948921344_twitter,twitter,cheating not wave grow dumbass nigga,normal,offensive,False
1124544521717649409_twitter,twitter,USER slurs would wetback beaner not illegal alien face_with_rolling_eyes,offensive,hatespeech,False
1237776467842322432_twitter,twitter,USER jamaati islami supporting islamic state waystodieinkashmir,offensive,normal,False
1179034258549039104_twitter,twitter,USER hero worship echo chamber never admit hero could wrong anything bring not relevant feminazi hit price part general attack straight white men leadership sickening,normal,offensive,False
23840294_gab,gab,precinct campaign meetings confirm whites hold ideals government non whites want free govt cheese jews crazy power,offensive,hatespeech,False
1123697297467031558_twitter,twitter,kiske kick someone gay old gay little ass,normal,offensive,False
1163928201627865089_twitter,twitter,quietly sitting class friend showing shoes look friend gay showing,offensive,normal,False
4037364_gab,gab,USER aloha akbatman not immigrant need immigrant want immigrant got let beat take,hatespeech,normal,False
20728328_gab,gab,ft tall beaner women still dispensing beanlets per year ogre,hatespeech,normal,False
17939414_gab,gab,dude sits around day trying argue anglin others probably bitched targeted harassment day,normal,offensive,False
